"Available commands:";"Доступные команды:"
Alias for list;Альяс для /list
Add user to Trust list;Добавить пользователя в список доверенных
Add user to Admins list;Добавить пользователя в список администраторов
Allow bot to recieve messages from all users in this chat;Разрешить прием команд от всех пользователей в этом чате
Remove user from trust list;Удалить пользователя из списка доверенных
Show list of available commands;Описание доступных методов
Change current user name;Смена имени пользователя
Error running command;Ошибка выполнения команды
User %s now in trust list;Пользователь %s добавлен в белый список
User %s is admin now;Пользователь %s назначен администратором
User %s is unknown;Пользователь %s не найден
Group %s is allowed to anyone;Группа %s открыта для всех пользователей
User %s has been removed from trust list;Пользователь %s удален из белого списка
User %s not found in trust list;Пользователь %s не найден в белом списке
